Model,Dataset,PSNR,SSIM,MS-SSIM,LPIPS,NIQE,MUSIQ,TOPIQ-NR,URanker,UCIQE,UIQM,Latency(ms),Params(M),GPU Mem(MB)
BLUE-Net,test-EUVP,17.949851093292235,0.8309897584623336,0.920958365694287,0.30040009789168837,5.420162749911818,37.584328927993774,0.3603277565538883,2.486346688568592,5.579127245545387,5.391260145902634,239.17156188964842,5.195251,2530.75830078125
BLUE-Net,test-LSUI,21.681755833625793,0.8966366150737375,0.9502816874553288,0.20524774564895779,5.261541754057127,39.207338514328,0.41363753125071523,2.1454597583785655,4.909401387572289,5.661845796108246,237.85364807128917,5.195251,2530.75830078125
BLUE-Net,test-UIEB,30.204195298088923,0.9754106213913664,0.9871940909531757,0.053315797272241776,5.559519606174578,51.918556192186145,0.5886225892437829,2.1116888688670263,5.267426705360412,5.625089775191413,240.04577636718747,5.195251,2530.75830078125
BLUE-Net,test-EUVP-unpaired,,,,,5.276377326208319,40.803003845214846,0.4360590048134327,1.9257842270471155,5.321443338990211,6.262223718166351,238.0753015136718,5.195251,2530.75830078125
BLUE-Net,test-RUIE-unpaired,,,,,4.693164704453101,31.615434699058532,0.3525466591492295,1.5537339432351291,3.5393178975582122,6.639822672605515,238.48852111816402,5.195251,2530.75830078125
BLUE-Net,test-UIEB-unpaired,,,,,6.472235434818206,47.65588137308757,0.5127352962891261,1.5076244179004183,4.630833886067072,6.739658574263255,239.61030782063807,5.195251,2530.75830078125
OurV1,test-EUVP,18.806059398651122,0.8347962083642222,0.9206494979036838,0.29418863661587236,5.51625672239088,38.326460886001584,0.359519674628973,2.5236340421438217,5.618819658160209,5.241104762554169,218.2652435302734,5.666914,2278.14599609375
OurV1,test-LSUI,21.64396854400635,0.8942991823356324,0.9460523760853496,0.21352640012279153,5.242039246812177,39.78598274230957,0.41088218793272974,2.180882718581706,4.953142372369766,5.5086190855503085,217.62389038085936,5.666914,2278.14599609375
OurV1,test-UIEB,28.665719519721137,0.9666627004715197,0.9855708309026285,0.06968431607302693,5.400405433273117,51.79983380635579,0.5788104004330106,2.1120851415726873,5.061350172095828,5.626943736606174,218.53561876085067,5.666914,2278.14599609375
OurV1,test-EUVP-unpaired,,,,,5.363066068717793,41.09213455200195,0.421478855907917,1.964794255970046,5.32005100607872,6.064859963655472,217.81950378417972,5.666914,2278.14599609375
